,importance
cat_name_encoded,0.211982
has_video,0.091562696
cat_parent_encoded,0.059446193
log_goal,0.058855373
prep_days,0.05340986
goal_is_round,0.04958091
log_goal_vs_cat_median,0.048535466
duration_days,0.03817196
goal_per_day,0.0348901
name_number,0.031011816
country_IT,0.027752519
launched_dayofweek,0.027563384
name_length,0.026320161
blurb_has_featuring,0.025391523
country_US,0.02415309
blurb_word_count,0.023823364
blurb_length,0.020557199
blurb_has_able,0.018614264
blurb_has_pin,0.018500183
country_DK,0.01588913
name_has_enamel,0.015677894
country_FR,0.013702898
country_ES,0.013204733
launched_month,0.011696007
blurb_has_edition,0.011047614
blurb_has_final,0.010897162
country_MX,0.010620143
blurb_has_press,0.002591366
blurb_has_com,0.0018852645
blurb_has_pet,0.0017857803
country_CA,0.0008799746
blurb_has_starting,0.0
blurb_has_wild,0.0
blurb_has_service,0.0
blurb_has_social_media,0.0
name_has_brewing,0.0
blurb_has_southern,0.0
blurb_has_zine,0.0
blurb_has_youtube,0.0
blurb_has_worship,0.0
blurb_has_website,0.0
blurb_has_talent,0.0
blurb_has_webcomic,0.0
blurb_has_want_create,0.0
blurb_has_start,0.0
blurb_has_want,0.0
blurb_has_volume,0.0
blurb_has_trying,0.0
blurb_has_theatre,0.0
name_has_calendar,0.0
name_has_business,0.0
name_has_fundraiser,0.0
name_has_cards,0.0
name_has_limited,0.0
name_has_volume,0.0
name_has_vol,0.0
name_has_tea,0.0
name_has_set,0.0
name_has_season,0.0
name_has_science,0.0
name_has_radio,0.0
name_has_presents,0.0
name_has_organic,0.0
name_has_media,0.0
name_has_make_100,0.0
name_has_length_album,0.0
name_has_com,0.0
name_has_issue,0.0
name_has_ii,0.0
name_has_hard,0.0
blurb_has_sell,0.0
name_has_funding,0.0
name_has_fringe,0.0
name_has_fine,0.0
name_has_exhibition,0.0
name_has_enamel_pins,0.0
name_has_enamel_pin,0.0
name_has_edition,0.0
blurb_has_selling,0.0
blurb_has_jewelry,0.0
blurb_has_san,0.0
blurb_has_edinburgh,0.0
blurb_has_downtown,0.0
blurb_has_currently,0.0
blurb_has_connection,0.0
blurb_has_collaboration,0.0
blurb_has_celebrating,0.0
blurb_has_car,0.0
blurb_has_business,0.0
blurb_has_brand_new,0.0
blurb_has_award,0.0
blurb_has_arduino,0.0
blurb_has_annual,0.0
blurb_has_aim,0.0
blurb_has_2nd,0.0
country_SE,0.0
country_Other,0.0
country_NL,0.0
country_HK,0.0
country_GB,0.0
country_DE,0.0
country_AU,0.0
is_usd,0.0
blurb_has_driven,0.0
blurb_has_enamel,0.0
blurb_has_raise_money,0.0
blurb_has_enamel_pins,0.0
blurb_has_radio,0.0
blurb_has_queer,0.0
blurb_has_product,0.0
blurb_has_presents,0.0
blurb_has_pi,0.0
blurb_has_nyc,0.0
blurb_has_news,0.0
blurb_has_looking,0.0
blurb_has_limited_edition,0.0
blurb_has_items,0.0
blurb_has_issue,0.0
blurb_has_installation,0.0
blurb_has_idea,0.0
blurb_has_hello,0.0
blurb_has_hard_enamel,0.0
blurb_has_fringe,0.0
blurb_has_fiction,0.0
blurb_has_exploration,0.0
blurb_has_exhibition,0.0
blurb_has_equipment,0.0
blurb_has_entertainment,0.0
name_has_zine,0.0
