,importance
cat_name_encoded,0.19614309
has_video,0.13606246
cat_parent_encoded,0.057144232
log_goal,0.055249978
goal_is_round,0.041701064
prep_days,0.0363937
duration_days,0.02896966
log_goal_vs_cat_median,0.025884608
goal_per_day,0.024222149
name_number,0.016423505
country_IT,0.015332536
name_length,0.014489419
blurb_has_want,0.012590615
country_ES,0.008798772
blurb_has_edition,0.008451433
blurb_has_youtube,0.008341608
country_Other,0.007902534
blurb_has_trying,0.0074600154
blurb_word_count,0.007307088
country_SE,0.0072428146
country_DE,0.0070677344
blurb_has_queer,0.006968192
blurb_has_pins,0.0066613494
country_HK,0.0064959456
blurb_has_looking,0.00645804
name_has_brewing,0.00637482
blurb_has_business,0.006367254
blurb_has_starring,0.0061018257
blurb_has_talent,0.005954279
blurb_has_enamel,0.005904397
blurb_has_entertainment,0.0057452796
blurb_length,0.005622689
name_has_enamel,0.005599458
country_NL,0.0053763017
blurb_has_volume,0.0053542503
country_DK,0.005255356
blurb_has_fringe,0.005220403
name_has_fine,0.0051752217
blurb_has_neighborhood,0.0049859197
blurb_has_residency,0.004923569
name_has_volume,0.004896455
blurb_has_burning_man,0.0048848405
blurb_has_sell,0.00480404
blurb_has_exhibition,0.004799641
blurb_has_raspberry,0.0047868136
blurb_has_equipment,0.0047866968
blurb_has_enamel_pins,0.004761821
blurb_has_nyc,0.004736447
is_usd,0.004725774
blurb_has_award,0.004553625
blurb_has_installation,0.0045455284
blurb_has_sports,0.0044331164
blurb_has_brooklyn,0.0044105356
blurb_has_celebrating,0.004387849
blurb_has_items,0.0043323818
blurb_has_brewery,0.004272058
blurb_has_final,0.004208194
blurb_has_downtown,0.004199826
country_US,0.004131067
blurb_has_zine,0.0040969867
blurb_has_north,0.004072941
blurb_has_annual,0.003973131
launched_dayofweek,0.003940105
blurb_has_gospel,0.0038525744
blurb_has_currently,0.0038513194
blurb_has_website,0.003810552
blurb_has_product,0.0036958714
blurb_has_inspirational,0.0036489256
blurb_has_service,0.0036191435
blurb_has_social_media,0.0035885943
name_has_season,0.003569944
name_has_edition,0.0035434028
blurb_has_april,0.0034382215
name_has_ii,0.0033645923
blurb_has_hello,0.0033475365
name_has_zine,0.0031697452
blurb_has_limited,0.0023167362
name_has_pi,0.0019140842
launched_month,0.0014907643
name_has_presents,0.0013506971
country_GB,0.0011524278
blurb_has_worship,0.0011446348
blurb_has_pi,0.0010976957
blurb_has_start,0.0010259922
blurb_has_mi,0.0010150537
blurb_has_com,0.0008687564
blurb_has_rap,0.00084371597
blurb_has_aim,0.0008144362
blurb_has_edinburgh,0.0007782246
name_has_com,0.00054714415
name_has_news,0.00045677263
blurb_has_limited_edition,0.0001558021
name_has_cards,6.3195796e-05
blurb_has_press,0.0
name_has_fundraiser,0.0
name_has_collective,0.0
blurb_has_homemade,0.0
name_has_edinburgh,0.0
country_MX,0.0
name_has_en,0.0
blurb_has_news,0.0
name_has_enamel_pin,0.0
name_has_enamel_pins,0.0
name_has_exhibition,0.0
country_FR,0.0
name_has_fringe,0.0
name_has_funding,0.0
name_has_goes,0.0
blurb_has_david,0.0
country_CA,0.0
name_has_issue,0.0
name_has_make_100,0.0
name_has_media,0.0
name_has_mind,0.0
blurb_has_idea,0.0
blurb_has_mysterious,0.0
name_has_pins,0.0
blurb_has_issue,0.0
country_AU,0.0
name_has_vol,0.0
blurb_has_literary,0.0
name_has_west,0.0
name_has_business,0.0
name_has_burning_man,0.0
name_has_burning,0.0
country_NZ,0.0
blurb_has_pre_order,0.0
blurb_has_compositions,0.0
blurb_has_raspberry_pi,0.0
blurb_has_exploration,0.0
blurb_has_schools,0.0
blurb_has_collaboration,0.0
blurb_has_selling,0.0
blurb_has_channel,0.0
blurb_has_car,0.0
blurb_has_burning,0.0
blurb_has_blog,0.0
blurb_has_pictures,0.0
blurb_has_starting,0.0
blurb_has_bbq,0.0
blurb_has_award_winning,0.0
blurb_has_august,0.0
blurb_has_arduino,0.0
blurb_has_want_create,0.0
blurb_has_webcomic,0.0
blurb_has_album_original,0.0
blurb_has_winter,0.0
blurb_has_label,0.0
blurb_has_pet,0.0
blurb_has_www,0.0
blurb_has_hard_enamel,0.0
blurb_has_able,0.0
name_has_arduino,0.0
blurb_has_wish,0.0
