feature,type,description,engineered,missing_rate_train
log_goal,numeric,Log(1+goal) — compresses right skew,False,0.00%
duration_days,numeric,Campaign duration in days (capped at 90),True,0.00%
prep_days,numeric,Days from account creation to launch (winsorised),True,0.00%
has_video,binary,"1 = video attached, 0 = no video",True,0.00%
blurb_length,numeric,Character count of short description,True,0.00%
name_length,numeric,Character count of campaign title,True,0.00%
blurb_word_count,numeric,Word count of short description,True,0.00%
name_has_number,binary,1 = title contains a digit,True,0.00%
goal_is_round,binary,1 = goal is divisible by 1000,True,0.00%
is_usd,binary,1 = currency is USD,True,0.00%
launched_month,numeric,Month of launch (1–12),True,0.00%
launched_dayofweek,numeric,"Day of week (0=Mon, 6=Sun)",True,0.00%
launched_year,numeric,Year of launch,True,0.00%
staff_pick,binary,1 = editorially featured by Kickstarter,False,0.00%
goal_per_day,numeric,goal / duration_days (daily fundraising target),True,0.00%
is_california,binary,1 = campaign located in California,True,0.00%
cat_name_encoded,numeric,Target-encoded subcategory (train mean success rate),True,0.00%
