,importance
log_goal,0.06775656694411868
duration_days,0.05141434774749409
prep_days,0.07405603613136513
has_video,0.0286998227863504
blurb_length,0.04117772152541743
name_length,0.045854061363471386
blurb_word_count,0.034726990866888414
name_has_number,0.006215294598938643
goal_is_round,0.007704349086902837
is_usd,0.00459918973106843
launched_month,0.0312284418685584
launched_dayofweek,0.024481420029859736
launched_year,0.05941678180399737
staff_pick,0.06771452439323968
goal_per_day,0.06454199124153394
is_california,0.005225774258567767
cat_name_encoded,0.30212299433170725
parent_Art,0.004011259365347345
parent_Comics,0.0020644394835921355
parent_Crafts,0.0032056940062131245
parent_Dance,0.0013527808118491953
parent_Design,0.0027167580675378595
parent_Fashion,0.002316025233535135
parent_Film_&_Video,0.005182052342135666
parent_Food,0.005058933653879843
parent_Games,0.002497010811556152
parent_Journalism,0.0016939867941134015
parent_Music,0.005078956329177578
parent_Photography,0.0022180867315685776
parent_Publishing,0.006168748259644607
parent_Technology,0.004250988602996436
parent_Theater,0.0033657177886516148
country_AU,0.0019231099344138955
country_BE,0.0005490143773031028
country_CA,0.0030456125214633678
country_CH,0.0005837148106064294
country_DE,0.0017429657717932133
country_DK,0.0009054810441448228
country_ES,0.0012826129470772329
country_FR,0.0016952806586732205
country_GB,0.004440768568992038
country_HK,0.00214676773801297
country_IE,0.00038726837721423204
country_IT,0.0016480240414357534
country_JP,0.0009751572803475088
country_MX,0.0014852529507983585
country_NL,0.0008899604525349642
country_NZ,0.0006276057006162677
country_Other,0.0009993342023600635
country_SE,0.0013669583903936381
country_SG,0.0005698453035895674
country_US,0.004617517936950873
