,importance
log_goal,0.03537675
duration_days,0.014084591
prep_days,0.010982982
has_video,0.09447268
blurb_length,0.003549523
name_length,0.005189584
blurb_word_count,0.0039139213
name_has_number,0.0109888185
goal_is_round,0.0066413986
is_usd,0.0056964094
launched_month,0.0041436
launched_dayofweek,0.0037226754
launched_year,0.033564016
staff_pick,0.2574129
goal_per_day,0.01074937
is_california,0.008189637
cat_name_encoded,0.105672196
parent_Art,0.008477942
parent_Comics,0.009102039
parent_Crafts,0.025803678
parent_Dance,0.004591365
parent_Design,0.009882326
parent_Fashion,0.006255522
parent_Film_&_Video,0.018263018
parent_Food,0.018572235
parent_Games,0.007884198
parent_Journalism,0.025005016
parent_Music,0.015579638
parent_Photography,0.012709087
parent_Publishing,0.024866207
parent_Technology,0.011121728
parent_Theater,0.013843575
country_AU,0.0039015594
country_BE,0.004057987
country_CA,0.004847172
country_CH,0.004340602
country_DE,0.007613841
country_DK,0.009046213
country_ES,0.009589927
country_FR,0.0052833506
country_GB,0.0056717335
country_HK,0.028452486
country_IE,0.0038864359
country_IT,0.015560787
country_JP,0.020540332
country_MX,0.0105500305
country_NL,0.006944323
country_NZ,0.0057139816
country_Other,0.0061425334
country_SE,0.011941638
country_SG,0.0043653543
country_US,0.005241088
